"","nasal_FST","saliva_FST","between_FST"
"1",0.0311185090972584,0.0132689646320357,0.0230883938652989
"2",0,0.140913865473637,0.029497664511577
"3",0.0311185090972584,0.0920832764350242,0.0230883938652989
"4",0,0.0230883938652989,0.0230883938652989
"5",0.0311185090972584,0.03451654445546,0.03451654445546
"6",0,0.199132856978384,0.0187604987467648
"7",NA,NA,0.03451654445546
"8",NA,NA,0.03451654445546
"9",NA,NA,0.199132856978384
"10",NA,NA,0.150325516587065
"11",NA,NA,0.199132856978384
"12",NA,NA,0.199132856978384
"13",NA,NA,0
"14",NA,NA,0.0311185090972584
"15",NA,NA,0
"16",NA,NA,0
