"","nasal_FST","saliva_FST","between_FST"
"1",0,0,0.030766578527534
"2",0.030766578527534,0.02698811805557,0.0176155354886262
"3",0.0176155354886262,0.02698811805557,0
"4",0.030766578527534,0.0426421344093951,0
"5",0.0176155354886262,0.0426421344093951,0
"6",0,0,0.030766578527534
"7",0.030766578527534,0,0.0176155354886262
"8",0.0176155354886262,0,0
"9",0,0.02698811805557,0
"10",0,0.0426421344093951,0
"11",NA,NA,0.0289940366109057
"12",NA,NA,0.0232454131473198
"13",NA,NA,0.02698811805557
"14",NA,NA,0.02698811805557
"15",NA,NA,0.02698811805557
"16",NA,NA,0.0375985706878289
"17",NA,NA,0.0350718455912794
"18",NA,NA,0.0426421344093951
"19",NA,NA,0.0426421344093951
"20",NA,NA,0.0426421344093951
"21",NA,NA,0.030766578527534
"22",NA,NA,0.0176155354886262
"23",NA,NA,0
"24",NA,NA,0
"25",NA,NA,0
