"","nasal_FST","saliva_FST","between_FST"
"1",0,0.799691482551355,0.98006996350712
"2",0,0.0213728916501621,0.982159398354993
"3",0,0.775748167138673,0.980266981738785
"4",0,0.926169807588643,0.966336032056007
"5",0,0.0388686573587767,0.413032252738858
"6",0,0.903984371365201,0.419759700545717
"7",NA,NA,0.413665579971802
"8",NA,NA,0.369375977712529
"9",NA,NA,0.960814581849059
"10",NA,NA,0.962863734585496
"11",NA,NA,0.961007810468031
"12",NA,NA,0.947340073589673
"13",NA,NA,0.676476153252375
"14",NA,NA,0.68461513987029
"15",NA,NA,0.677243309095854
"16",NA,NA,0.623098963599664
