"","nasal_FST","saliva_FST","between_FST"
"1",0,0,0.0177053248479753
"2",0,0.992593177340752,0.0177053248479753
"3",0,0.99098203303753,0.0177053248479753
"4",0,0.943549543868906,0.0177053248479753
"5",0,0.946929860364751,0.0177053248479753
"6",0,0.0708808823580516,0.0244825197926169
"7",0,0.0177053248479753,0.0244825197926169
"8",0,0.0244825197926167,0.0244825197926169
"9",0,1,0.0244825197926169
"10",0,0.955565972305575,0.0244825197926169
"11",NA,NA,1
"12",NA,NA,1
"13",NA,NA,1
"14",NA,NA,1
"15",NA,NA,1
"16",NA,NA,0.950610255773444
"17",NA,NA,0.950610255773444
"18",NA,NA,0.944410356011392
"19",NA,NA,0.944410356011392
"20",NA,NA,0.950610255773444
"21",NA,NA,0
"22",NA,NA,0
"23",NA,NA,0
"24",NA,NA,0
"25",NA,NA,0
