"","nasal_FST","saliva_FST","between_FST"
"1",0.0835445342221289,0.0312632730770238,0.0278882517640764
"2",0.0835445342221289,0.0269711903258494,0.0269711903258494
"3",0,0.0881049455457888,0.0269711903258494
"4",0.0835445342221289,0.909703181217276,0.0269711903258494
"5",0,0.790828236475545,0.0269711903258494
"6",0,1,0
"7",0.0835445342221289,0.0278138768988875,0.0881049455457888
"8",0,0.072247825747796,0.0881049455457888
"9",0,0.0286108096709976,0.0881049455457888
"10",0,0.894603222720082,0.0881049455457888
"11",NA,NA,0.0835445342221289
"12",NA,NA,0
"13",NA,NA,0
"14",NA,NA,0
"15",NA,NA,0
"16",NA,NA,0.796943470458697
"17",NA,NA,1
"18",NA,NA,1
"19",NA,NA,1
"20",NA,NA,1
"21",NA,NA,0.06841735485678
"22",NA,NA,0.0286108096709976
"23",NA,NA,0.0286108096709976
"24",NA,NA,0.0286108096709976
"25",NA,NA,0.0286108096709976
